longitude,latitude,income,density,outcome
104.00,30.60,8.2,120,17.1
104.05,30.60,9.1,135,18.4
104.10,30.60,7.8,142,15.9
104.15,30.60,10.4,158,20.6
104.20,30.60,11.2,166,21.7
104.25,30.60,9.7,181,18.8
104.00,30.65,7.4,128,15.2
104.05,30.65,8.8,147,17.5
104.10,30.65,10.1,153,19.9
104.15,30.65,9.5,172,18.2
104.20,30.65,12.3,188,23.0
104.25,30.65,11.5,195,21.2
104.00,30.70,6.9,139,14.4
104.05,30.70,8.1,151,16.1
104.10,30.70,9.6,169,18.7
104.15,30.70,11.0,177,21.0
104.20,30.70,12.7,201,23.5
104.25,30.70,13.1,214,23.9
104.00,30.75,7.7,144,15.8
104.05,30.75,9.3,163,18.0
104.10,30.75,10.8,182,20.5
104.15,30.75,12.0,196,22.4
104.20,30.75,13.4,219,24.8
104.25,30.75,14.2,231,25.9
104.00,30.80,8.5,156,16.9
104.05,30.80,9.9,174,19.1
104.10,30.80,11.6,191,21.8
104.15,30.80,12.9,213,23.7
104.20,30.80,14.5,238,26.3
104.25,30.80,15.1,249,27.0
104.00,30.85,9.0,168,17.8
104.05,30.85,10.7,187,20.4
104.10,30.85,12.2,207,22.9
104.15,30.85,13.8,226,25.1
104.20,30.85,15.3,252,27.6
104.25,30.85,16.0,269,28.5
